extension_id,name,source,insert_date_fmt
febheipcbpjemgcfelalhpaafdohaaka,Amazon Music Web Player,Store Monitoring,2026-02-17
fnlnhcbjijmpajeppnnmkeagdmnlgihp,SpongeBob and Gary Sunset Live Wallpaper,Store Monitoring,2026-02-17
nlogodaofdghipmbdclajkkpheneldjd,Pixel Shield - Your Ad Blocker,Store Monitoring,2026-02-16
hpamjldgeadmapkdklhndmcdankicnch,Matrix Tunnel VPN - Your Secure Gateway,Store Monitoring,2026-02-16
cjmhegifablecgkkncjddcgkjmgoacfd,Ask AI - GPT chat,Store Monitoring,2026-02-16
fmkcleogbiclpgpfdmnmffhamhkbnifi,CapCut - easy-to-use Video Editor,Store Monitoring,2026-02-16
kconabncdpbdoapacohccnlgemnnghbp,CapCut - Extension,Store Monitoring,2026-02-16
mlaonedihngoginmmlaacpihnojcoocl,PageGuard - Phishing Protection,Store Monitoring,2026-02-15
linflaofbnlhpakjpohmfnkkkmpngnck,Market Owl — Smart Crypto Dashboard,Store Monitoring,2026-02-15
pmjfbdnpbhfgeioabfahbheefebeiehp,Contrast Flip - Smart Theme Control,Store Monitoring,2026-02-16
glbinjackcjdkljjkochlgfheebjongh,Higgsfield Prompt Saver,Store Monitoring,2026-02-15
lbokgbjpgnklhppkijiojhlefopnhegb,Sleeping pikachu wallpaper,Store Monitoring,2026-02-13
hffnjemmnepkggdecfbgmfbmncponjco,Hill Climb Racing Lite Game,Store Monitoring,2026-02-13
fpafokmkjcnkflboiefkiokbklpjbfpp,Hill Climb Racing Game Online,Store Monitoring,2026-02-13
dehblkalhcpijgblbakdkofmlfpklkjj,Pokemon Theme,Store Monitoring,2026-02-13
jdfhogfabmocclgjnkfhokhaoecbmijj,Hill Climb Racing Unblocked,Store Monitoring,2026-02-13
pcdgkgbadeggbnodegejccjffnoakcoh,VKfeed - Download music and video from VK,https://thehackernews.com/2026/02/malicious-chrome-extensions-caught.html,2026-02-13
bndkfmmbidllaiccmpnbdonijmicaafn,vksaver - music saver vk,https://thehackernews.com/2026/02/malicious-chrome-extensions-caught.html,2026-02-13
lgakkahjfibfgmacigibnhcgepajgfdb,Music Downloader - VKsaver,https://thehackernews.com/2026/02/malicious-chrome-extensions-caught.html,2026-02-13
mflibpdjoodmoppignjhciadahapkoch,VK Music - audio saver,https://thehackernews.com/2026/02/malicious-chrome-extensions-caught.html,2026-02-13
ceibjdigmfbbgcpkkdpmjokkokklodmc,VK Styles - Themes for vk.com,https://thehackernews.com/2026/02/malicious-chrome-extensions-caught.html,2026-02-13
jkphinfhmfkckkcnifhjiplhfoiefffl,CL Suite by @CLMasters,Store Monitoring,2026-02-15
fpmkabpaklbhbhegegapfkenkmpipick,Chat GPT for Gmail,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
idhknpoceajhnjokpnbicildeoligdgh,ChatGPT Translation,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
acaeafediijmccnjlokgcdiojiljfpbe,ChatGPT Translate,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
flnecpdpbhdblkpnegekobahlijbmfok,ChatGPT Picture Generator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
fnjinbdmidgjkpmlihcginjipjaoapol,Email Generator AI,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
ckicoadchmmndbakbokhapncehanaeni,AI Email Writer,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
kepibgehhljlecgaeihhnmibnmikbnga,DeepSeek Download,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
ecikmpoikkcelnakpgaeplcjoickgacj,Ai Picture Generator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
dbclhjpifdfkofnmjfpheiondafpkoed,Ai Wallpaper Generator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
ckneindgfbjnbbiggcmnjeofelhflhaj,AI Image Generator Chat GPT,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
cicjlpmjmimeoempffghfglndokjihhn,AI Cover Letter Generator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
bilfflcophfehljhpnklmcelkoiffapb,AI For Translation,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
cmpmhhjahlioglkleiofbjodhhiejhei,AI Translator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
lodlcpnbppgipaimgbjgniokjcnpiiad,AI Message Generator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
hgnjolbjpjmhepcbjgeeallnamkjnfgi,AI Letter Generator,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
gnaekhndaddbimfllbgmecjijbbfpabc,Ask Gemini,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
fdlagfnfaheppaigholhoojabfaapnhb,Google Gemini,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
baonbjckakcpgliaafcodddkoednpjgf,XAI,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
ebmmjmakencgmgoijdfnbailknaaiffh,Chat With Gemini,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
nkgbfengofophpmonladgaldioelckbe,Chat Bot GPT,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
pgfibniplgcnccdnkhblpmmlfodijppg,ChatGBT,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
phiphcloddhmndjbdedgfbglhpkjcffh,Asking Chat Gpt,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
cgmmcoandmabammnhfnjcakdeejbfimn,Grok,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
djhjckkfgancelbmgcamjimgphaphjdl,AI Sidebar,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
fppbiomdkfbhgjjdmojlogeceejinadg,Gemini AI Sidebar,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
gcfianbpjcfkafpiadmheejkokcmdkjl,Llama,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
nlhpidbjmmffhoogcennoiopekbiglbp,AI Assistant,https://layerxsecurity.com/blog/aiframe-fake-ai-assistant-extensions-targeting-260000-chrome-users-via-injected-iframes/,2026-02-12
kpkcamnbjkdiodpgcengepidppnkjikf,Axiom Enhancer,Store Monitoring,2026-02-11
egmlbimojingfmchokcniklnhnecdecf,Unseen - Chat Privacy,Store Monitoring,2026-02-11
eciaojnpihmgkbacgpjnimcpkfeklgag,Ask AI Browser,Store Monitoring,2026-02-11
pfaidgdipkpofconnnehlpedhhmfdcoa,Garfield Judges You,Store Monitoring,2026-02-11
dfibabgkjdmbfbknefpabdglfpbmbnhh,TronWallet: Web3 Crypto Wallet,Store Monitoring,2026-02-10
mfdjdcehbbppoogkamldmbihomamhmca,Search Obituaries,Store Monitoring,2026-02-10
hdigpgnfpockednepfiinhdjebkmpicn,Delete All Messages,Store Monitoring,2026-02-10
fpieikfplpkakilnkbplekppmhbpmdkp,Bikini Bottom,Store Monitoring,2026-02-10
pdnhbaibaebmoklmjjpffoohcfohgbbg,Spongebob Squarepants Face,Store Monitoring,2026-02-10
pgbmnheamnejadnjhnkejnpnmaifnhpn,South Park The Stick Of Truth,Store Monitoring,2026-02-10
lefmdgdlhcodbfdcgpobglnbgndcmcpa,Product Review Generator,Store Monitoring,2026-02-10
oickdmhdjcdgdfcejbnhonlihonkhfkl,South Park Super Best Friends,Store Monitoring,2026-02-10
hmhhkbhpfikipaiacjfmdbhgbejmkimh,Spongebob Squarepants Face,Store Monitoring,2026-02-06
domokkifabiamikppmngfikdjjihldln,SpongeBob and Gary’s Undersea Adventure,Store Monitoring,2026-02-06
abkebhncjihnoblbkcmhogfdpdmdklhg,Garfield Wallpaper,Store Monitoring,2026-02-06
imdfikikfkflcgioaidldbhhoknmdfee,Spongebob Square Pants,Store Monitoring,2026-02-06
mofnafclpcapghpjdoaanahkgcjfcece,Swift Proton VPN: Fast & Secure,Store Monitoring,2026-02-06
ajnffcojjhbikdpopdabjnfccngejkmk,NewKit: Export AI Chat to Notion,Store Monitoring,2026-02-07
opmnheodgmjdcpiciifndlaikfecdmja,Livedoor Reader Pin Push for Chrome,Store Monitoring,2026-02-07
jlolcgbicggpnaaljnflepfmnaaceeln,Duda Image Optimizer Pro,Store Monitoring,2026-02-07
jndpihobigkijmhfcedncpbebnjficad,Horizon,Store Monitoring,2026-02-07
hjchjajelldmdegnajehbipdeepdloko,Vgate Wallet,Store Monitoring,2026-02-07
kjidkkncdchjnnfpclneimlcmghcfoon,intentleads - Engagement based LinkedIn Leads PREVIEW,Store Monitoring,2026-02-08
hpkfkbmcphnigepfjmapkdaedglohgjg,Flappy Birdie (Night farm mode),Store Monitoring,2026-02-08
pmjnfndhdjmocibhfoddhinhpgjpipjb,South Park Wallpaper,Store Monitoring,2026-02-09
edieaiaimjhldokpcoalkfbeeeobaodc,South park,Store Monitoring,2026-02-09
ppfdcmempdfjnanjegmjhanplgjicefg,FireTab New Tab,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
podfjomopoejmlkfnhanlmlagcnlappd,标签星球-给你的浏览器装个仪表盘,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
pgpidfocdapogajplhjofamgeboonmmj,Google Meet Push-To-Talk,https://www.koi.ai/blog/darkspectre-unmasking-the-threat-actor-behind-7-8-million-infected-browsers,2026-02-10
